feature,importance_mean,importance_std
dom_len,0.1783136713332843,0.002913466285745461
path_len,0.12364897826022214,0.0021128060543487864
is_https,0.11302436788462362,0.003995756299584932
tld_len,0.06598420344218403,0.0028286887102649118
url_len,0.06237204979179316,0.0025273186467834716
entropy,0.05828904192036716,0.002518303167187554
subdom_cnt,0.05554681902945467,0.0034977286948352
dash_cnt,0.023579885639537078,0.0019463442848756535
dot_cnt,0.022897408361499838,0.0015701715177979185
special_cnt,0.015807167696033776,0.0010036016146924404
slash_cnt,0.01545218946240189,0.0018669418530711628
digit_ratio,0.011702094576368094,0.0013809005668149689
spec_ratio,0.011035751243188096,0.001631989736429284
query_len,0.007779877368950583,0.0006564819558683262
digit_cnt,0.007591110785876443,0.0007175294603221332
letter_cnt,0.003638066621693359,0.001574570479297464
letter_ratio,0.0008915618751289212,0.0005119149589240822
under_cnt,0.0006917672053085467,0.00020423343161892287
eq_cnt,0.00025537611014356807,0.0004722264001043968
is_ip,0.0,0.0
qm_cnt,-5.2477688678886913e-05,8.016099355577547e-05
amp_cnt,-0.00045535900509708905,0.0001604022150017787
